family	hypothesis	test	statistic	p_value	effect_size	ci_low	ci_high	n1	n2	direction	p_bh_within	sig_within_family	family_significant	significant_overall
domain_architecture	H1.1_GroEL_multi_domain	Fisher exact	1.128746804581511	0.3456680636763394	1.128746804581511	0.880267304034873	1.4473664340513752	257	25001	enriched	0.45960505602588936	False	True	False
domain_architecture	H1.1_HSP60_multi_domain	Fisher exact	0.84594655631241	0.1558418489280718	0.84594655631241	0.6713579779548384	1.0659373979837696	291	24967	depleted	0.22001202201610134	False	True	False
domain_architecture	H1.2_GroEL_SF_3.20.20.70	Fisher exact	8.368506871651526	1.92677739526257e-08	8.368506871651526	3.8276654134447066	18.29624580426784	499	1642	enriched	2.3121328743150842e-07	True	True	True
domain_architecture	H1.2_GroEL_SF_3.40.50.300	Fisher exact	0.8663079992927686	0.6363544166106958	0.8663079992927686	0.5354881878068368	1.4015053305141414	499	1642	depleted	0.6640219999415956	False	True	False
domain_architecture	H1.2_GroEL_SF_1.10.10.10	Fisher exact	50.85743801652893	3.476805515908801e-09	50.85743801652893	6.700686264667667	386.0021047759592	499	1642	enriched	8.344333238181122e-08	True	True	True
domain_architecture	H1.2_GroEL_SF_3.40.640.10	Fisher exact	2.556886952311789	0.0149182257758328	2.556886952311789	1.2331559477675933	5.301576737911813	499	1642	enriched	0.039781935402220796	True	True	True
domain_architecture	H1.2_GroEL_SF_3.50.50.60	Fisher exact	1.2397330595482543	0.5883202306610057	1.2397330595482543	0.6336456540947804	2.4255481735016864	499	1642	enriched	0.6418038879938244	False	True	False
domain_architecture	H1.2_GroEL_SF_3.90.1150.10	Fisher exact	2.2907274590163933	0.0390192502875273	2.2907274590163933	1.0560649269717943	4.968853862554089	499	1642	enriched	0.09364620069006552	False	True	False
domain_architecture	H1.2_GroEL_SF_3.30.420.40	Fisher exact	6.013469387755102	0.0012134872748703	6.013469387755102	2.005948440179805	18.02728991091432	499	1642	enriched	0.00582473891937744	True	True	True
domain_architecture	H1.2_GroEL_SF_3.40.50.150	Fisher exact	1.188	0.6828747739053058	1.188	0.5508379445374273	2.5621764331888803	499	1642	enriched	0.6828747739053057	False	True	False
domain_architecture	H1.2_GroEL_SF_3.40.50.720	Fisher exact	0.4884909503131845	0.0643017563303564	0.4884909503131845	0.230681479921721	1.034428115420675	499	1642	depleted	0.11871093476373488	False	True	False
domain_architecture	H1.2_GroEL_SF_2.40.50.100	Fisher exact	2.213170400543109	0.1056852980924858	2.213170400543109	0.899550981165582	5.445075737112159	499	1642	enriched	0.16909647694797728	False	True	False
domain_architecture	H1.2_HSP60_SF_3.40.50.300	Fisher exact	1.1766747262124877	0.4701307711076741	1.1766747262124877	0.7462076237006356	1.855466719089288	471	1670	enriched	0.5372923098373418	False	True	False
domain_architecture	H1.2_HSP60_SF_3.40.50.720	Fisher exact	1.2698412698412698	0.4331116265569714	1.2698412698412698	0.7110580486109015	2.2677429131731324	471	1670	enriched	0.5197339518683657	False	True	False
domain_architecture	H1.2_HSP60_SF_1.25.40.10	Fisher exact	2.156862745098039	0.0496203943975276	2.156862745098039	1.0465811749577152	4.4450034192329175	471	1670	enriched	0.10826267868551476	False	True	False
domain_architecture	H1.2_HSP60_SF_3.40.30.10	Fisher exact	1.8721227621483376	0.0971334088470523	1.8721227621483376	0.9244835793758636	3.791136711070744	471	1670	enriched	0.16651441516637536	False	True	False
domain_architecture	H1.2_HSP60_SF_3.30.830.10	Fisher exact	5.431372549019608	0.0002475511729533	5.431372549019608	2.2069877342597586	13.366548127254646	471	1670	enriched	0.0019804093836264	True	True	True
domain_architecture	H1.2_HSP60_SF_3.90.226.10	Fisher exact	4.824981844589688	0.0004637998386492	4.824981844589688	2.020550991675212	11.521832359854768	471	1670	enriched	0.0027827990318952	True	True	True
domain_architecture	H1.2_HSP60_SF_3.50.50.60	Fisher exact	1.338235294117647	0.3638540026871624	1.338235294117647	0.6837672576641215	2.619127608625352	471	1670	enriched	0.45960505602588936	False	True	False
domain_architecture	H1.2_HSP60_SF_3.40.50.620	Fisher exact	3.271544074147111	0.0132804126126588	3.271544074147111	1.3808255448256064	7.751160651100811	471	1670	enriched	0.039781935402220796	True	True	True
domain_architecture	H1.2_HSP60_SF_2.40.30.10	Fisher exact	3.58963282937365	0.0123582559417977	3.58963282937365	1.339976696066435	9.61618503332406	471	1670	enriched	0.039781935402220796	True	True	True
domain_architecture	H1.2_HSP60_SF_2.40.50.140	Fisher exact	2.381362007168459	0.1134421632957223	2.381362007168459	0.8432905670791223	6.724710592728967	471	1670	enriched	0.17016324494358345	False	True	False
domain_architecture	H1.3_GroEL_CATH_class	Chi-squared	16.78518576680283	0.002127789788714	0.0885431039377371			499	1642	different	0.008511159154856	True	True	True
domain_architecture	H1.3_HSP60_CATH_class	Chi-squared	9.23336665942908	0.0555238847542469	0.0656707093321611			471	1670	different	0.11104776950849378	False	True	False
stability_asymmetry	H2.1_groel_relative_contact_order	Wilcoxon signed-rank	2304.0	8.944768932489034e-05	0.4054193548387096			124	124	N>C	0.0003041221437046272	True	True	True
stability_asymmetry	H2.1_groel_mean_plddt	Wilcoxon signed-rank	3539.0	0.0053052563524617	0.2725590955806783			139	139	N>C	0.012025247732246521	True	True	True
stability_asymmetry	H2.1_groel_frac_helix	Wilcoxon signed-rank	4476.0	0.4134341921865656	-0.0799588900308324			139	139	C>N	0.502027233369401	False	True	False
stability_asymmetry	H2.1_groel_frac_strand	Wilcoxon signed-rank	4253.0	0.2489218553689517	0.1131268897925138			139	139	N>C	0.3526392951060149	False	True	False
stability_asymmetry	H2.1_groel_frac_plddt_gt70	Wilcoxon signed-rank	1670.0	0.0001514583256509	0.4219453097957771			139	139	N>C	0.00042913192267755	True	True	True
